trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode,location_type
25.76287079,-80.19178772,Helium Mobile,0,20240401-00000,2024-03-22T23:00:00.000Z,2024-04-01T17:00:00.000Z,2024-04-01T18:00:00.000Z,74:97:8E:00:03:52,,infra,,2,0,?,?,?,False,100,0,wpa2,US,FL,Brickell Avenue,Miami,1060,33131,Residential
25.76596069,-80.18873596,Helium Mobile,5,20240107-00000,2024-01-07T17:00:00.000Z,2024-06-29T16:00:00.000Z,2024-06-29T18:00:00.000Z,74:97:8E:00:03:92,,infra,,2,0,?,?,?,False,149,0,wpa2,US,FL,Brickell Key Drive,Miami,,33131,Business
25.76610947,-80.18868256,Helium Mobile,0,20240321-00000,2024-03-21T13:00:00.000Z,2024-03-21T07:00:00.000Z,2024-03-21T07:00:00.000Z,74:97:8E:00:03:93,,infra,,2,0,?,?,?,False,11,0,wpa2,US,FL,Baywalk,Miami,,33131,Business
25.79569626,-80.19268799,Helium Mobile,0,20240609-00000,2024-06-06T16:00:00.000Z,2024-06-09T19:00:00.000Z,2024-06-09T23:00:00.000Z,74:97:8E:00:03:C2,,infra,,2,0,?,?,?,False,100,0,wpa2,US,FL,Northeast 20th Street,Miami,120,33132,Residential
40.73125458,-73.99417114,Helium Mobile,6,20240205-00000,2024-02-05T18:00:00.000Z,2024-04-29T12:00:00.000Z,2024-04-29T12:00:00.000Z,74:97:8E:00:04:22,,infra,,2,0,?,?,?,False,116,0,wpa2,US,NY,University Place,City of New York,,10003,Residential
40.73121262,-73.99394989,Helium Mobile,3,20240206-00000,2024-02-06T18:00:00.000Z,2024-04-29T12:00:00.000Z,2024-04-29T12:00:00.000Z,74:97:8E:00:04:23,,infra,,2,0,?,?,?,False,6,0,wpa2,US,NY,East 8th Street,City of New York,44,10003,Business
33.42258835,-111.73675537,Helium Mobile,4,20240101-00000,2004-05-17T23:00:00.000Z,2024-02-22T16:00:00.000Z,2024-02-22T17:00:00.000Z,74:97:8E:00:04:42,,infra,,2,0,?,?,?,False,100,0,wpa2,US,AZ,East University Drive,Mesa,,85205,Business
38.58784866,-90.29299927,Helium Mobile,0,20240425-00000,2024-04-25T15:00:00.000Z,2024-04-25T11:00:00.000Z,2024-04-25T11:00:00.000Z,74:97:8E:00:04:52,,infra,,2,0,?,?,?,False,116,0,wpa2,US,MO,Murdoch Avenue,Saint Louis,,63109,Business
38.58782196,-90.2930069,Helium Mobile,2,20240416-00000,2024-04-16T17:00:00.000Z,2024-04-25T11:00:00.000Z,2024-04-25T11:00:00.000Z,74:97:8E:00:04:53,,infra,,2,0,?,?,?,False,11,0,wpa2,US,MO,Murdoch Avenue,Saint Louis,,63109,Business
25.85400772,-80.31602478,Helium Mobile,1,20240420-00000,2024-04-20T12:00:00.000Z,2024-04-21T07:00:00.000Z,2024-04-21T07:00:00.000Z,74:97:8E:00:04:82,,infra,,2,0,?,?,?,False,149,0,wpa2,US,FL,West 35th Place,Hialeah,,33012:33166,Business
25.85400772,-80.31593323,Helium Mobile,1,20240420-00000,2024-04-20T12:00:00.000Z,2024-04-21T07:00:00.000Z,2024-04-21T07:00:00.000Z,74:97:8E:00:04:83,,infra,,2,0,?,?,?,False,11,0,wpa2,US,FL,West 35th Place,Hialeah,,33012:33166,Business
26.00805092,-80.28932953,Helium Mobile,0,20240213-00000,2024-02-10T16:00:00.000Z,2024-02-13T02:00:00.000Z,2024-02-13T02:00:00.000Z,74:97:8E:00:04:DB,,infra,,2,0,?,?,?,False,11,0,wpa2,US,FL,Pines Boulevard,Pembroke Pines,,33026-4102,Business
33.11922836,-117.12742615,Helium Mobile,0,20240530-00000,2024-05-21T00:00:00.000Z,2024-05-30T14:00:00.000Z,2024-05-30T15:00:00.000Z,74:97:8E:00:05:0B,,infra,,2,0,?,?,?,False,1,0,wpa2,US,CA,Country Club Drive,Escondido,1110,92029,Residential
34.19761658,-119.21738434,Helium Mobile,0,20240413-00000,2024-04-13T04:00:00.000Z,2024-04-13T00:00:00.000Z,2024-04-13T04:00:00.000Z,74:97:8E:00:05:4A,,infra,,2,0,?,?,?,False,132,0,wpa2,US,CA,West 5th Street,Oxnard,,93035-1203,Business
34.19750595,-119.2180481,Helium Mobile,1,20240413-00000,2024-04-11T02:00:00.000Z,2024-04-13T00:00:00.000Z,2024-04-13T04:00:00.000Z,74:97:8E:00:05:4B,,infra,,2,0,?,?,?,False,1,0,wpa2,US,CA,West 5th Street,Oxnard,,93035-1203,Residential
38.90270233,-77.40621948,Helium Mobile,0,20240126-00000,2024-01-26T10:00:00.000Z,2024-01-26T02:00:00.000Z,2024-01-26T02:00:00.000Z,74:97:8E:00:05:5B,,infra,,2,0,?,?,?,False,11,,wpa2,US,VA,Fairfax County Parkway,,,20171,Business
42.41466904,-71.09333038,Helium Mobile,0,20240810-00000,2024-08-10T18:00:00.000Z,2024-08-10T14:00:00.000Z,2024-08-10T15:00:00.000Z,74:97:8E:00:05:72,,infra,,2,0,?,?,?,False,100,0,wpa2,US,MA,Spring Street,Medford,69,02155-4902,Residential
42.41436768,-71.09344482,Helium Mobile,0,20240810-00000,2024-08-10T18:00:00.000Z,2024-08-10T14:00:00.000Z,2024-08-10T15:00:00.000Z,74:97:8E:00:05:73,,infra,,2,0,?,?,?,False,6,0,wpa2,US,MA,Spring Street,Medford,61,02155-4902,Residential
37.32913208,-121.85905457,Helium Mobile,0,20240120-00000,2024-01-20T08:00:00.000Z,2024-01-20T04:00:00.000Z,2024-01-20T04:00:00.000Z,74:97:8E:00:05:8A,,infra,,2,0,?,?,?,False,116,,wpa2,US,CA,Story Road,San Jose,779,95122,Residential
37.3294754,-121.85978699,Helium Mobile,0,20240120-00000,2024-01-20T09:00:00.000Z,2024-01-20T04:00:00.000Z,2024-01-20T04:00:00.000Z,74:97:8E:00:05:8B,,infra,,2,0,?,?,?,False,4,,wpa2,US,CA,Story Road,San Jose,779,95122,Business
47.5202446,-122.25971985,Helium Mobile,0,20240309-00000,2024-03-10T03:00:00.000Z,2024-03-09T20:00:00.000Z,2024-03-09T21:00:00.000Z,74:97:8E:00:05:B2,,infra,,2,0,?,?,?,False,116,0,wpa2,US,WA,Rainier Avenue South,Seattle,9551,98118,Residential
47.52031708,-122.26026917,Helium Mobile,0,20240309-00000,2024-03-10T03:00:00.000Z,2024-03-09T20:00:00.000Z,2024-03-09T21:00:00.000Z,74:97:8E:00:05:B3,,infra,,2,0,?,?,?,False,1,0,wpa2,US,WA,Rainier Avenue South,Seattle,9551,98118,Residential
42.40897751,-71.05381012,Helium Mobile,5,20240112-00000,2024-01-12T18:00:00.000Z,2024-06-20T15:00:00.000Z,2024-06-20T16:00:00.000Z,74:97:8E:00:06:02,,infra,,2,0,?,?,?,False,36,0,wpa2,US,MA,Ellsworth Street,,13,02149-2512,Residential
42.40901947,-71.05380249,Helium Mobile,5,20240112-00000,2024-01-12T18:00:00.000Z,2024-06-21T11:00:00.000Z,2024-06-21T11:00:00.000Z,74:97:8E:00:06:03,,infra,,2,0,?,?,?,False,11,0,wpa2,US,MA,Ellsworth Street,,13,02149-2512,Residential
29.6858902,-95.32688141,Helium Mobile,1,20240307-00000,2024-03-07T18:00:00.000Z,2024-03-15T04:00:00.000Z,2024-03-15T04:00:00.000Z,74:97:8E:00:06:1A,,infra,,2,0,?,?,?,False,149,0,wpa2,US,TX,Osborn Street,Houston,,77033,Residential
29.75220871,-95.40227509,Helium Mobile,0,20240715-00000,2024-05-03T23:00:00.000Z,2024-07-15T05:00:00.000Z,2024-07-15T06:00:00.000Z,74:97:8E:00:06:83,,infra,,2,0,?,?,?,False,11,0,wpa2,US,TX,Dunlavy Street,Houston,,77019-1999,Residential
25.85401917,-80.31601715,Helium Mobile,1,20240419-00000,2024-04-20T00:00:00.000Z,2024-04-21T07:00:00.000Z,2024-04-21T07:00:00.000Z,74:97:8E:00:06:AA,,infra,,2,0,?,?,?,False,52,0,wpa2,US,FL,West 35th Place,Hialeah,,33012:33166,Business
25.8539505,-80.31603241,Helium Mobile,1,20240420-00000,2024-04-20T12:00:00.000Z,2024-04-21T07:00:00.000Z,2024-04-21T07:00:00.000Z,74:97:8E:00:06:AB,,infra,,2,0,?,?,?,False,11,0,wpa2,US,FL,West 35th Place,Hialeah,,33012:33166,Business
38.90275192,-77.40629578,Helium Mobile,5,20240111-00000,2024-01-11T10:00:00.000Z,2024-07-24T06:00:00.000Z,2024-07-25T01:00:00.000Z,74:97:8E:00:06:BB,,infra,,2,0,?,?,?,False,11,0,wpa2,US,VA,Fairfax County Parkway,,,20171,Business
40.77620316,-73.98212433,Helium Mobile,5,20240222-00000,2024-02-22T21:00:00.000Z,2024-06-21T18:00:00.000Z,2024-06-21T21:00:00.000Z,74:97:8E:00:06:CA,,infra,,2,0,?,?,?,False,36,0,wpa2,US,NY,West 69th Street,City of New York,147,10023,Residential
33.11868668,-117.12743378,Helium Mobile,0,20240530-00000,2024-05-21T00:00:00.000Z,2024-05-30T14:00:00.000Z,2024-05-30T15:00:00.000Z,74:97:8E:00:07:1A,,infra,,2,0,?,?,?,False,36,0,wpa2,US,CA,Country Club Drive,Escondido,1142,92029,Residential
33.11940384,-117.12744141,Helium Mobile,0,20240530-00000,2024-05-21T00:00:00.000Z,2024-05-30T14:00:00.000Z,2024-05-30T15:00:00.000Z,74:97:8E:00:07:1B,,infra,,2,0,?,?,?,False,1,0,wpa2,US,CA,Country Club Drive,Escondido,1110,92029,Residential
40.72456741,-74.10953522,Helium Mobile,0,20240127-00000,2024-01-28T04:00:00.000Z,2024-01-27T21:00:00.000Z,2024-01-27T22:00:00.000Z,74:97:8E:00:07:32,,infra,,2,0,?,?,?,False,36,,wpa2,US,NJ,Hackensack Avenue,,78,07032,Business
40.72455597,-74.10958862,Helium Mobile,0,20240127-00000,2024-01-28T04:00:00.000Z,2024-01-27T21:00:00.000Z,2024-01-27T22:00:00.000Z,74:97:8E:00:07:33,,infra,,2,0,?,?,?,False,1,,wpa2,US,NJ,Hackensack Avenue,,78,07032,Business
41.5104866,-82.94594574,Helium Mobile,0,20240119-00000,2024-01-19T14:00:00.000Z,2024-01-19T07:00:00.000Z,2024-01-19T07:00:00.000Z,74:97:8E:00:07:42,,infra,,2,0,?,?,?,False,132,,wpa2,US,OH,West 3rd Street,,,43452,Residential
41.51046371,-82.94619751,Helium Mobile,0,20240119-00000,2024-01-19T14:00:00.000Z,2024-01-19T07:00:00.000Z,2024-01-19T07:00:00.000Z,74:97:8E:00:07:43,,infra,,2,0,?,?,?,False,11,,wpa2,US,OH,West 3rd Street,,,43452,Residential
34.03374863,-118.14730835,Helium Mobile,0,20240808-00000,2024-08-08T16:00:00.000Z,2024-08-08T11:00:00.000Z,2024-08-08T11:00:00.000Z,74:97:8E:00:07:5B,,infra,,2,0,?,?,?,False,1,0,wpa2,US,CA,Pomona Freeway,,,90022:90640,Business
34.06323624,-118.23311615,Helium Mobile,7,20240116-00000,2024-01-16T18:00:00.000Z,2024-08-08T18:00:00.000Z,2024-08-08T20:00:00.000Z,74:97:8E:00:07:7A,,infra,,2,0,?,?,?,False,36,0,wpa2,US,CA,North Main Street,Los Angeles,,90012,Residential
34.06346512,-118.2335434,Helium Mobile,7,20240116-00000,2024-01-16T18:00:00.000Z,2024-06-19T01:00:00.000Z,2024-06-19T01:00:00.000Z,74:97:8E:00:07:7B,,infra,,2,0,?,?,?,False,1,0,wpa2,US,CA,North Main Street,Los Angeles,,90012,Residential
40.63006592,-112.2959671,Helium Mobile,0,20240802-00000,2024-07-06T00:00:00.000Z,2024-08-03T03:00:00.000Z,2024-08-03T05:00:00.000Z,74:97:8E:00:07:82,,infra,,2,0,?,?,?,False,100,0,wpa2,US,UT,North Brienne Way,,,84704,Residential
40.62979889,-112.29595947,Helium Mobile,0,20240802-00000,2024-07-06T00:00:00.000Z,2024-08-03T03:00:00.000Z,2024-08-03T05:00:00.000Z,74:97:8E:00:07:83,,infra,,2,0,?,?,?,False,11,0,wpa2,US,UT,North Brienne Way,,,84704,Residential
40.00375748,-75.18741608,Helium Mobile,0,20240707-00000,2024-07-07T20:00:00.000Z,2024-07-07T14:00:00.000Z,2024-07-07T15:00:00.000Z,74:97:8E:00:07:92,,infra,,2,0,?,?,?,False,132,0,wpa2,US,PA,Ridge Avenue,Philadelphia,,19129,Business
40.00370789,-75.18738556,Helium Mobile,2,20240614-00000,2024-06-14T11:00:00.000Z,2024-07-07T15:00:00.000Z,2024-07-07T15:00:00.000Z,74:97:8E:00:07:93,,infra,,2,0,?,?,?,False,4,0,wpa2,US,PA,Ridge Avenue,Philadelphia,,19129,Business
40.73498154,-74.17325592,Helium Mobile,0,20240112-00000,2024-01-12T15:00:00.000Z,2024-01-12T14:00:00.000Z,2024-01-12T15:00:00.000Z,74:97:8E:00:07:F2,,infra,,2,0,?,?,?,False,36,,wpa2,US,NJ,Branford Place,Newark,,07102,Business
40.73505783,-74.17324066,Helium Mobile,0,20240112-00000,2024-01-12T15:00:00.000Z,2024-01-12T14:00:00.000Z,2024-01-12T15:00:00.000Z,74:97:8E:00:07:F3,,infra,,2,0,?,?,?,False,1,,wpa2,US,NJ,Nutria Street,Newark,,07102,Business
37.51966476,-121.94624329,Helium Mobile,0,20240610-00000,2024-04-09T02:00:00.000Z,2024-06-10T20:00:00.000Z,2024-06-10T20:00:00.000Z,74:97:8E:00:08:33,,infra,,2,0,?,?,?,False,11,0,wpa2,US,CA,Osgood Road,Fremont,43230,94538,Residential
37.75131226,-122.23799133,Helium Mobile,0,20240126-00000,2024-01-27T06:00:00.000Z,2024-01-26T22:00:00.000Z,2024-01-27T00:00:00.000Z,74:97:8E:00:08:3A,,infra,,2,0,?,?,?,False,132,,wpa2,US,CA,Otis Drive,,,94502,Residential
37.75136185,-122.23807526,Helium Mobile,0,20240304-00000,2024-03-04T02:00:00.000Z,2024-03-04T00:00:00.000Z,2024-03-04T01:00:00.000Z,74:97:8E:00:08:3B,,infra,,2,0,?,?,?,False,11,0,wpa2,US,CA,Otis Drive,,,94502,Business
25.77997971,-80.22377014,Helium Mobile,3,20240516-00000,2024-05-16T14:00:00.000Z,2024-07-08T17:00:00.000Z,2024-07-08T17:00:00.000Z,74:97:8E:00:08:4A,,infra,,2,0,?,?,?,False,132,0,wpa2,US,FL,Northwest 7th Street,Miami,1761,33125,Residential
38.66833115,-121.36252594,Helium Mobile,0,20240112-00000,2024-01-12T05:00:00.000Z,2024-01-12T15:00:00.000Z,2024-01-12T18:00:00.000Z,74:97:8E:00:08:92,,infra,,2,0,?,?,?,False,116,,wpa2,US,CA,Palm Avenue,,,95660,Residential
38.66843033,-121.36219788,Helium Mobile,0,20240112-00000,2024-01-12T05:00:00.000Z,2024-01-12T15:00:00.000Z,2024-01-12T18:00:00.000Z,74:97:8E:00:08:93,,infra,,2,0,?,?,?,False,11,,wpa2,US,CA,Hillsdale Boulevard,,,95660,Residential
44.97605896,-93.27095795,Helium Mobile,4,20240202-00000,2024-02-02T22:00:00.000Z,2024-07-11T20:00:00.000Z,2024-07-11T20:00:00.000Z,74:97:8E:00:08:BA,,infra,,2,0,?,?,?,False,36,0,wpa2,US,MN,South 7th Street,Minneapolis,109,55402-2368,Residential
44.97597885,-93.27082825,Helium Mobile,4,20240202-00000,2024-02-02T22:00:00.000Z,2024-07-11T20:00:00.000Z,2024-07-11T20:00:00.000Z,74:97:8E:00:08:BB,,infra,,2,0,?,?,?,False,1,0,wpa2,US,MN,South 7th Street,Minneapolis,109,55402-2368,Business
39.76188278,-104.98889923,Helium Mobile,0,20240113-00000,2024-01-12T21:00:00.000Z,2024-01-13T07:00:00.000Z,2024-01-13T08:00:00.000Z,74:97:8E:00:09:12,,infra,,2,0,?,?,?,False,52,,wpa2,US,CO,Wewatta Way,Denver,2797,80216,Residential
36.16967392,-115.33253479,Helium Mobile,0,20240202-00000,2024-02-02T18:00:00.000Z,2024-02-02T13:00:00.000Z,2024-02-02T13:00:00.000Z,74:97:8E:00:09:2B,,infra,,2,0,?,?,?,False,11,0,wpa2,US,NV,Alta Drive,Las Vegas,,89135-1038,Business
38.91247177,-104.69658661,Helium Mobile,1,20240106-00000,2024-01-06T19:00:00.000Z,2024-01-28T12:00:00.000Z,2024-01-28T15:00:00.000Z,74:97:8E:00:09:5A,,infra,,2,0,?,?,?,False,52,0,wpa2,US,CO,Stetson Hills Boulevard,Colorado Springs,,80938,Business
38.91222763,-104.69738007,Helium Mobile,3,20240128-00000,2024-01-28T19:00:00.000Z,2024-08-05T15:00:00.000Z,2024-08-05T18:00:00.000Z,74:97:8E:00:09:5B,,infra,,2,0,?,?,?,False,9,0,wpa2,US,CO,Stetson Hills Boulevard,Colorado Springs,,80938,Business
38.9749527,-104.74061584,Helium Mobile,0,20240614-00000,2024-06-14T18:00:00.000Z,2024-06-14T17:00:00.000Z,2024-06-15T03:00:00.000Z,74:97:8E:00:09:9B,,infra,,2,0,?,?,?,False,1,0,wpa2,US,CO,Grand Cordera Parkway,Colorado Springs,,80924,Business
37.69068909,-122.13791656,Helium Mobile,0,20240123-00000,2024-01-22T23:00:00.000Z,2024-01-23T00:00:00.000Z,2024-01-23T00:00:00.000Z,74:97:8E:00:09:A2,,infra,,2,0,?,?,?,False,132,,wpa2,US,CA,Nimitz Freeway,,,94579,Business
33.90873337,-117.8838501,Helium Mobile,0,20240305-00000,2024-03-03T01:00:00.000Z,2024-03-05T11:00:00.000Z,2024-03-05T11:00:00.000Z,74:97:8E:00:09:A3,,infra,,2,0,?,?,?,False,11,0,wpa2,US,CA,Orange Freeway,,,92821,Business
34.10171127,-118.35951233,Helium Mobile,7,20240104-00000,2024-01-05T01:00:00.000Z,2024-05-05T04:00:00.000Z,2024-05-05T04:00:00.000Z,74:97:8E:00:09:AA,,infra,,2,0,?,?,?,False,116,0,wpa2,US,CA,Hollywood Boulevard,Los Angeles,,90046-2549,Residential
34.10167694,-118.35966492,Helium Mobile,7,20240104-00000,2024-01-05T01:00:00.000Z,2024-07-19T18:00:00.000Z,2024-07-20T00:00:00.000Z,74:97:8E:00:09:AB,,infra,,2,0,?,?,?,False,11,0,wpa2,US,CA,Hollywood Boulevard,Los Angeles,,90046-2549,Residential
27.93482018,-82.48309326,Helium Mobile,0,20240608-00000,2024-06-08T01:00:00.000Z,2024-06-08T06:00:00.000Z,2024-06-08T06:00:00.000Z,74:97:8E:00:09:BA,,infra,,2,0,?,?,?,False,52,0,wpa2,US,FL,South Howard Avenue,Tampa,,33606,Business
27.93469048,-82.48312378,Helium Mobile,0,20240608-00000,2024-06-08T01:00:00.000Z,2024-06-08T06:00:00.000Z,2024-06-08T06:00:00.000Z,74:97:8E:00:09:BB,,infra,,2,0,?,?,?,False,1,0,wpa2,US,FL,South Howard Avenue,Tampa,,33606,Business
40.86233139,-74.13893127,Helium Mobile,0,20240122-00000,2024-01-22T02:00:00.000Z,2024-01-22T05:00:00.000Z,2024-01-22T05:00:00.000Z,74:97:8E:00:09:CA,,infra,,2,0,?,?,?,False,132,,wpa2,US,NJ,Paulison Avenue,,,07015,Residential
39.27725983,-74.57366943,Helium Mobile,5,20240403-00000,2024-04-03T21:00:00.000Z,2024-06-13T20:00:00.000Z,2024-06-14T01:00:00.000Z,74:97:8E:00:09:E2,,infra,,2,0,?,?,?,False,100,0,wpa2,US,NJ,Ocean Avenue,,,08226,Business
39.27716446,-74.57375336,Helium Mobile,3,20240403-00000,2024-04-03T21:00:00.000Z,2024-06-13T20:00:00.000Z,2024-06-14T01:00:00.000Z,74:97:8E:00:09:E3,,infra,,2,0,?,?,?,False,3,0,wpa2,US,NJ,Ocean Avenue,,,08226,Business
35.59208679,-97.60487366,Helium Mobile,5,20240107-00000,2004-05-23T15:00:00.000Z,2024-03-27T04:00:00.000Z,2024-03-27T04:00:00.000Z,74:97:8E:00:0A:12,,infra,,2,0,?,?,?,False,100,0,wpa2,US,OK,Old Farm Road,Oklahoma City,,73142,Residential
35.59212875,-97.60493469,Helium Mobile,5,20240107-00000,2024-01-07T15:00:00.000Z,2024-05-23T04:00:00.000Z,2024-05-23T04:00:00.000Z,74:97:8E:00:0A:13,,infra,,2,0,?,?,?,False,11,0,wpa2,US,OK,Old Farm Road,Oklahoma City,,73142,Residential
40.58371353,-105.07849884,Helium Mobile,1,20240122-00000,2024-01-23T00:00:00.000Z,2024-02-06T12:00:00.000Z,2024-02-06T13:00:00.000Z,74:97:8E:00:0A:52,,infra,,2,0,?,?,?,False,52,0,wpa2,US,CO,West Olive Street,Fort Collins,121,80524,Business
40.58296585,-105.07805634,Helium Mobile,4,20240110-00000,2024-01-11T00:00:00.000Z,2024-03-30T17:00:00.000Z,2024-03-30T21:00:00.000Z,74:97:8E:00:0A:53,,infra,,2,0,?,?,?,False,1,0,wpa2,US,CO,West Magnolia Street,Fort Collins,120,80524,Business
34.93715668,-82.27272797,Helium Mobile,4,20240309-00000,2024-03-09T19:00:00.000Z,2024-07-21T19:00:00.000Z,2024-07-22T12:00:00.000Z,74:97:8E:00:0A:6A,,infra,,2,0,?,?,?,False,116,0,wpa2,US,SC,West Wade Hampton Boulevard,Greer,,29650,Residential
34.93734741,-82.2729187,Helium Mobile,5,20240309-00000,2024-03-09T19:00:00.000Z,2024-07-21T23:00:00.000Z,2024-07-22T12:00:00.000Z,74:97:8E:00:0A:6B,,infra,,2,0,?,?,?,False,11,0,wpa2,US,SC,West Wade Hampton Boulevard,Greer,1494,29650,Business
40.87176514,-81.40092468,Helium Mobile,0,20240229-00000,2024-02-08T06:00:00.000Z,2024-02-29T16:00:00.000Z,2024-03-01T03:00:00.000Z,74:97:8E:00:0A:9A,,infra,,2,0,?,?,?,False,149,0,wpa2,US,OH,Bachtel Street Southwest,,,44720,Business
40.87174606,-81.40088654,Helium Mobile,0,20240229-00000,2024-02-08T06:00:00.000Z,2024-02-29T16:00:00.000Z,2024-03-01T03:00:00.000Z,74:97:8E:00:0A:9B,,infra,,2,0,?,?,?,False,11,0,wpa2,US,OH,Bachtel Street Southwest,,,44720,Business
42.48301315,-71.08663177,Helium Mobile,0,20240703-00000,2024-07-03T22:00:00.000Z,2024-07-03T17:00:00.000Z,2024-07-03T19:00:00.000Z,74:97:8E:00:0A:D2,,infra,,2,0,?,?,?,False,100,0,wpa2,US,MA,Blueberry Lane,,2,02180,Residential
42.48291016,-71.08662415,Helium Mobile,0,20240703-00000,2024-07-03T22:00:00.000Z,2024-07-03T17:00:00.000Z,2024-07-03T19:00:00.000Z,74:97:8E:00:0A:D3,,infra,,2,0,?,?,?,False,6,0,wpa2,US,MA,Blueberry Lane,,2,02180,Residential
33.92938614,-118.10242462,Helium Mobile,2,20240506-00000,2024-05-06T13:00:00.000Z,2024-06-27T07:00:00.000Z,2024-06-27T08:00:00.000Z,74:97:8E:00:0B:0A,,infra,,2,0,?,?,?,False,116,0,wpa2,US,CA,San Gabriel River Freeway,Norwalk,,90241-5204,Business
33.92932129,-118.10253143,Helium Mobile,7,20240225-00000,2024-02-25T22:00:00.000Z,2024-07-18T16:00:00.000Z,2024-07-18T18:00:00.000Z,74:97:8E:00:0B:0B,,infra,,2,0,?,?,?,False,11,0,wpa2,US,CA,San Gabriel River Freeway,Norwalk,,90241-5204,Business
41.18246078,-111.98256683,Helium Mobile,6,20240206-00000,2024-02-06T23:00:00.000Z,2024-07-28T16:00:00.000Z,2024-07-28T17:00:00.000Z,74:97:8E:00:0B:2A,,infra,,2,0,?,?,?,False,116,0,wpa2,US,UT,South 300 West,Riverdale,,84408,Residential
41.18239212,-111.98257446,Helium Mobile,6,20240206-00000,2024-02-06T23:00:00.000Z,2024-07-28T16:00:00.000Z,2024-07-28T17:00:00.000Z,74:97:8E:00:0B:2B,,infra,,2,0,?,?,?,False,1,0,wpa2,US,UT,South 300 West,Riverdale,,84408,Residential
40.68511963,-73.98241425,Helium Mobile,0,20240301-00000,2024-03-01T21:00:00.000Z,2024-03-01T14:00:00.000Z,2024-03-01T23:00:00.000Z,74:97:8E:00:0B:5A,,infra,,2,0,?,?,?,False,52,0,wpa2,US,NY,Pacific Street,City of New York,,11217,Business
42.46218109,-71.14272308,Helium Mobile,2,20240101-00000,2023-12-31T23:00:00.000Z,2024-07-27T13:00:00.000Z,2024-07-27T14:00:00.000Z,74:97:8E:00:0B:62,,infra,,2,0,?,?,?,False,116,0,wpa2,US,MA,Main Street,,905,01890,Residential
